latitude,longitude,scientificname,occurrenceRemarks,Year
41.71599960327149, -103.01055145263672,Coccinella novemnotata,Note,2007
42.48771286010742, -103.75888061523438,Coccinella novemnotata,Note,2007
42.5047721862793, -102.40896606445312,Coccinella novemnotata,Note,2007
43.845921, -112.43499,Coccinella novemnotata,Note,2008
41.824251, -103.665,Coccinella novemnotata,Note,2008
42.5047721862793, -102.40896606445312,Coccinella novemnotata,Note,2008
44.8512305, -123.18676,Coccinella novemnotata,Note,2009
41.7354861, -111.83438,Coccinella novemnotata,Note,2009
35.406314, -110.256683,Coccinella novemnotata,Note,2009
38.9797141, -105.35749,Coccinella novemnotata,Note,2009
39.035545, -104.29718,Coccinella novemnotata,Note,2009
34.0194543, -118.49119,Coccinella novemnotata,Note,2009
42.8804516, -115.7973,Coccinella novemnotata,Note,2009
38.55473, -104.343,Coccinella novemnotata,Note,2009
43.32545, -103.26326,Coccinella novemnotata,Note,2009
43.8955436, -103.41824,Coccinella novemnotata,Note,2009
36.114646, -115.17281,Coccinella novemnotata,Note,2009
42.1887721, -120.34579,Coccinella novemnotata,Note,2009
42.48771286010742, -103.75888061523438,Coccinella novemnotata,Note,2009
33.7906068, -109.98871,Coccinella novemnotata,Note,2009
38.8338816, -104.82136,Coccinella novemnotata,Note,2009
38.9330494, -104.60858,Coccinella novemnotata,Note,2009
38.5259, -104.425,Coccinella novemnotata,Note,2010
41.54597473144531, -103.71047973632812,Coccinella novemnotata,Note,2010
41.8506088256836, -103.70794677734376,Coccinella novemnotata,Note,2010
38.9290999, -104.57858,Coccinella novemnotata,Note,2010
40.9407806, -87.454078,Coccinella novemnotata,Note,2010
44.4431025, -91.683331,Coccinella novemnotata,Note,2010
38.7334177, -105.28192,Coccinella novemnotata,Note,2011
38.8338816, -104.82136,Coccinella novemnotata,Note,2011
38.9341583, -104.60948,Coccinella novemnotata,Note,2011
38.833881, -104.82136,Coccinella novemnotata,Note,2011
38.865444, -104.748828,Coccinella novemnotata,Note,2011
38.8334312, -104.8218,Coccinella novemnotata,Note,2011
38.682219, -104.7008,Coccinella novemnotata,Note,2011
42.48771286010742, -103.75888061523438,Coccinella novemnotata,Note,2011
51.842407, -122.54098,Coccinella novemnotata,Note,2011
43.7773, -102.4552,Coccinella novemnotata,Note,2011
43.77730178833008, -102.4552001953125,Coccinella novemnotata,Note,2011
43.165548, -89.912901,Coccinella novemnotata,Note,2011
42.1887721, -120.34579,Coccinella novemnotata,Note,2011
43.6365693, -113.30028,Coccinella novemnotata,Note,2012
42.7240732, -114.51865,Coccinella novemnotata,Note,2012
40.0891304, -109.67736,Coccinella novemnotata,Note,2012
42.5296532, -114.30112,Coccinella novemnotata,Note,2012
44.0956545, -115.61871,Coccinella novemnotata,Note,2012
42.5338019, -114.36475,Coccinella novemnotata,Note,2012
42.43919, -114.3085,Coccinella novemnotata,Note,2012
42.0854723, -113.5634,Coccinella novemnotata,Note,2012
49.08000183105469, -113.87000274658205,Coccinella novemnotata,Note,2012
49.081, -113.879,Coccinella novemnotata,Note,2012
49.08, -113.87,Coccinella novemnotata,Note,2012
38.4, -104.4,Coccinella novemnotata,Note,2012
38.8334312, -104.8218,Coccinella novemnotata,Note,2012
38.9330494, -104.60858,Coccinella novemnotata,Note,2012
37.2861114, -108.03951,Coccinella novemnotata,Note,2012
38.929826, -104.57608,Coccinella novemnotata,Note,2012
38.9341583, -104.60948,Coccinella novemnotata,Note,2012
49.08, -113.88,Coccinella novemnotata,Note,2012
45.4194013, -93.194041,Coccinella novemnotata,Note,2012
45.434479, -93.190413,Coccinella novemnotata,Note,2012
46.5958056, -112.02703,Coccinella novemnotata,Note,2012
46.42, -112.13,Coccinella novemnotata,Note,2012
46.5897598, -112.0212,Coccinella novemnotata,Note,2012
42.48771286010742, -103.75888061523438,Coccinella novemnotata,Note,2012
41.71599960327149, -103.01055145263672,Coccinella novemnotata,Note,2012
42.1887721, -120.34579,Coccinella novemnotata,Note,2012
46.1270925, -112.94916,Coccinella novemnotata,Note,2012
38.9341583, -104.60948,Coccinella novemnotata,Note,2013
46.5897598, -112.0212,Coccinella novemnotata,Note,2013
46.9551696, -112.67513,Coccinella novemnotata,Note,2013
46.1304206, -112.95333,Coccinella novemnotata,Note,2013
38.5625, -104.441,Coccinella novemnotata,Note,2013
38.7513999, -104.74391,Coccinella novemnotata,Note,2013
42.454071, -121.50408,Coccinella novemnotata,Note,2013
38.5365, -104.417,Coccinella novemnotata,Note,2013
49.4173011, -112.856,Coccinella novemnotata,Note,2014
41.0312118, -71.953727,Coccinella novemnotata,Note,2014
43.2331, -114.3089,Coccinella novemnotata,Note,2014
45.4472007, -93.73603,Coccinella novemnotata,Note,2014
46.5897598, -112.0212,Coccinella novemnotata,Note,2014
38.8334312, -104.8218,Coccinella novemnotata,Note,2014
42.48771286010742, -103.75888061523438,Coccinella novemnotata,Note,2014
38.9341583, -104.60948,Coccinella novemnotata,Note,2014
39.0359497, -104.29753,Coccinella novemnotata,Note,2014
40.3062095, -105.07916,Coccinella novemnotata,Note,2014
39.550947, -105.099243,Coccinella novemnotata,Note,2014
38.54, -104.37,Coccinella novemnotata,Note,2014
39.103, -104.311,Coccinella novemnotata,Note,2014
38.533, -104.411,Coccinella novemnotata,Note,2014
41.0092582, -72.068946,Coccinella novemnotata,Note,2015
39.5792999, -121.096,Coccinella novemnotata,Note,2015
34.4689598, -118.19386,Coccinella novemnotata,Note,2015
34.2621192, -118.66296,Coccinella novemnotata,Note,2015
34.930641, -118.56237,Coccinella novemnotata,Note,2015
39.1205711, -104.16786,Coccinella novemnotata,Note,2015
38.8334312, -104.8218,Coccinella novemnotata,Note,2015
34.930641, -118.562376,Coccinella novemnotata,Note,2015
34.017916, -118.287891,Coccinella novemnotata,Note,2015
34.4986716667, -118.1748366667,Coccinella novemnotata,Note,2015
34.262557, -118.66286,Coccinella novemnotata,Note,2015
34.26305, -118.662777,Coccinella novemnotata,Note,2015
34.2635841, -118.663427,Coccinella novemnotata,Note,2015
34.9483481713, -118.5575866699,Coccinella novemnotata,Note,2015
34.9489109913, -118.5558700562,Coccinella novemnotata,Note,2015
39.0263404, -104.48387,Coccinella novemnotata,Note,2015
43.098213, -108.681116,Coccinella novemnotata,Note,2015
34.420616, -119.796752,Coccinella novemnotata,Note,2016
37.1299830397, -121.6346371098,Coccinella novemnotata,Note,2016
36.088294, -120.11237,Coccinella novemnotata,Note,2016
37.1259117, -121.66178,Coccinella novemnotata,Note,2016
39.2882683333, -102.986265,Coccinella novemnotata,Note,2016
39.325815, -102.547752,Coccinella novemnotata,Note,2016
34.420616149902344, -119.7967529296875,Coccinella novemnotata,Note,2016
35.0654680815, -109.7791146808,Coccinella novemnotata,Note,2016
38.8334312, -104.8218,Coccinella novemnotata,Note,2016
34.408418, -119.84704,Coccinella novemnotata,Note,2017
34.44174, -119.848696,Coccinella novemnotata,Note,2017
34.730905, -118.4012616667,Coccinella novemnotata,Note,2017
34.2563740185, -118.6240518093,Coccinella novemnotata,Note,2017
34.3972378236, -119.5275163651,Coccinella novemnotata,Note,2017
41.614943, -122.502816,Coccinella novemnotata,Note,2017
34.6165416667, -118.7440816667,Coccinella novemnotata,Note,2017
34.3843877068, -119.4976902008,Coccinella novemnotata,Note,2017
34.9824715254, -118.7216091156,Coccinella novemnotata,Note,2017
38.912363, -105.156719,Coccinella novemnotata,Note,2017
38.7716129, -104.6492651,Coccinella novemnotata,Note,2017
40.3716834131, -105.61473459,Coccinella novemnotata,Note,2017
38.833414, -104.735855,Coccinella novemnotata,Note,2017
38.86059, -104.651402,Coccinella novemnotata,Note,2017
38.6212543384, -104.886448072,Coccinella novemnotata,Note,2017
34.408416748046875, -119.84703826904295,Coccinella novemnotata,Note,2017
34.44173812866211, -119.84869384765624,Coccinella novemnotata,Note,2017
40.2510931094, -111.8771749735,Coccinella novemnotata,Note,2017
41.407675, -105.72644,Coccinella novemnotata,Note,2017
43.337098, -103.558248,Coccinella novemnotata,Note,2017
42.1890716, -120.34597,Coccinella novemnotata,Note,2018
41.5872753505, -112.5837769547,Coccinella novemnotata,Note,2018
50.2320466667, -119.287945,Coccinella novemnotata,Note,2018
33.2766945346, -117.3130906373,Coccinella novemnotata,Note,2018
33.2764478693, -117.3146409541,Coccinella novemnotata,Note,2018
33.2760543246, -117.3200690746,Coccinella novemnotata,Note,2018
33.2773011041, -117.3172473907,Coccinella novemnotata,Note,2018
37.6822162727, -118.7864155764,Coccinella novemnotata,Note,2018
34.462213, -120.072366,Coccinella novemnotata,Note,2018
40.560035, -108.135333,Coccinella novemnotata,Note,2018
39.6425033333, -105.5927416667,Coccinella novemnotata,Note,2018
38.8334808, -104.8218,Coccinella novemnotata,Note,2018
40.24767, -120.8050383333,Coccinella novemnotata,Note,2019
35.0607733333, -119.35073,Coccinella novemnotata,Note,2019
34.6492500305, -119.3852920532,Coccinella novemnotata,Note,2019
34.64913, -119.3852533333,Coccinella novemnotata,Note,2019
34.3915166667, -118.8926466667,Coccinella novemnotata,Note,2019
43.337098, -103.558248,Coccinella novemnotata,Note,2019
42.432082, -103.79284,Coccinella novemnotata,Note,2019
38.8472303854, -104.5952276127,Coccinella novemnotata,Note,2019
39.484805, -105.1073,Coccinella novemnotata,Note,2019
44.9275266694, -116.0893674668,Coccinella novemnotata,Note,2019
46.3432543383, -119.4754530117,Coccinella novemnotata,Note,2019
47.223757, -119.410536,Coccinella novemnotata,Note,2019
42.9495566667, -120.7616916667,Coccinella novemnotata,Note,2020
44.2424113462, -90.8717406452,Coccinella novemnotata,Note,2020
50.8423533333, -121.2246716667,Coccinella novemnotata,Note,2020
50.7357733333, -121.28897,Coccinella novemnotata,Note,2020
49.5626869959, -119.6520845219,Coccinella novemnotata,Note,2020
49.793972, -115.737274,Coccinella novemnotata,Note,2020
51.787754, -122.448418,Coccinella novemnotata,Note,2020
51.7875834669, -122.4499418289,Coccinella novemnotata,Note,2020
50.12918, -125.3633933333,Coccinella novemnotata,Note,2020
41.25218667, -105.40656333,Coccinella novemnotata,Note,2020
47.36785833, -117.82540833,Coccinella novemnotata,Note,2020
46.6318888889, -119.3959527778,Coccinella novemnotata,Note,2020
36.8097410926, -119.8928972337,Coccinella novemnotata,Note,2020
36.8098799354, -119.8935466474,Coccinella novemnotata,Note,2020
36.8102322883, -119.8930352866,Coccinella novemnotata,Note,2020
36.8099246307, -119.8936131023,Coccinella novemnotata,Note,2020
40.3625433331, -120.621449169,Coccinella novemnotata,Note,2020
35.340311632, -119.3388598243,Coccinella novemnotata,Note,2020
35.34030833, -119.34635333,Coccinella novemnotata,Note,2020
36.7104444087, -120.818373325,Coccinella novemnotata,Note,2020
35.0768214429, -119.6652482917,Coccinella novemnotata,Note,2020
39.5498509722, -119.828496,Coccinella novemnotata,Note,2020
46.813873, -112.153933,Coccinella novemnotata,Note,2020
40.9731019722, -105.0085839722,Coccinella novemnotata,Note,2020
35.8667471074, -119.3919923696,Coccinella novemnotata,Note,2021
36.2513695997, -120.3154075,Coccinella novemnotata,Note,2021
41.059783555, -112.2435298562,Coccinella novemnotata,Note,2021
43.27489862, -116.39785735,Coccinella novemnotata,Note,2021
49.0601869381, -117.6133418136,Coccinella novemnotata,Note,2021
49.025571389, -119.6854911,Coccinella novemnotata,Note,2021
50.81913, -121.3269883333,Coccinella novemnotata,Note,2021
50.8127966667, -121.3068783333,Coccinella novemnotata,Note,2021
38.8472303854, -104.5952276127,Coccinella novemnotata,Note,2021
38.8251583333, -105.9947133333,Coccinella novemnotata,Note,2021
43.44228575, -119.0004659722,Coccinella novemnotata,Note,2021
43.0993155, -118.2305923333,Coccinella novemnotata,Note,2021
45.1480111667, -121.747825,Coccinella novemnotata,Note,2021
38.694970577, -119.5205825816,Coccinella novemnotata,Note,2021
46.813873, -112.153933,Coccinella novemnotata,Note,2021
41.0733990329, -106.1335867716,Coccinella novemnotata,Note,2017
42.8578244953, -103.5850746165,Coccinella novemnotata,Note,2019
42.7415443567, -103.9114057875,Coccinella novemnotata,Note,2019
42.4625479421, -103.08109296,Coccinella novemnotata,Note,2012
43.2331218935, -103.6221438161,Coccinella novemnotata,Note,2017
40.5130085988, -108.1068211412,Coccinella novemnotata,Note,2018
46.1831527724, -119.8508266736,Coccinella novemnotata,Note,2012
40.921805, -111.8645033333,Coccinella novemnotata,Note,2021
50.737525, -121.2934166667,Coccinella novemnotata,Note,2021
50.737525, -121.2933983333,Coccinella novemnotata,Note,2021
38.7976333333, -104.8601083333,Coccinella novemnotata,Note,2021
39.5488366667, -105.0241695,Coccinella novemnotata,Note,2021
50.7374521418, -121.2936043893,Coccinella novemnotata,Note,2021
50.736221, -121.286163,Coccinella novemnotata,Note,2021
34.438878399, -119.8434639459,Coccinella novemnotata,Note,2021
50.752296, -120.873077,Coccinella novemnotata,Note,2021
50.7440716893, -121.2906575918,Coccinella novemnotata,Note,2021
50.7429471006, -121.2915048337,Coccinella novemnotata,Note,2021
50.7429227237, -121.291460768,Coccinella novemnotata,Note,2021
50.741718, -121.287735,Coccinella novemnotata,Note,2021
34.08851, -118.234216,Coccinella novemnotata,Note,2009
33.468427, -117.47648,Coccinella novemnotata,Note,2016
33.42962, -117.530222,Coccinella novemnotata,Note,2016
33.42961883544922, -117.53022003173828,Coccinella novemnotata,Note,2016
33.46842575073242, -117.47647857666016,Coccinella novemnotata,Note,2016
35.077125, -118.7221183333,Coccinella novemnotata,Note,2017
40.37642, -111.70902,Coccinella novemnotata,Note,2018
38.5724906, -121.75387,Coccinella novemnotata,Note,2015
35.296023, -118.683344,Coccinella novemnotata,Note,2017
48.5234184, -122.91394,Coccinella novemnotata,Note,2015
35.0207983333, -118.717375,Coccinella novemnotata,Note,2017
35.02277, -118.67889,Coccinella novemnotata,Note,2017
33.817129, -118.085931,Coccinella novemnotata,Note,2015
33.8237916231, -118.091260231,Coccinella novemnotata,Note,2015
41.6985893, -71.461677,Coccinella novemnotata,Note,2014
34.4379616667, -118.617455,Coccinella novemnotata,Note,2017
34.438175, -118.6184833333,Coccinella novemnotata,Note,2017
34.4369716667, -118.6222533333,Coccinella novemnotata,Note,2017
41.3314094, -74.356666,Coccinella novemnotata,Note,2016
