Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
127097,I-naturalist,2020,Coccinella novemnotata,35.0768214429,-119.6652482917,5.0,California,"(35.0768214429, -119.6652482917)"
128147,I-naturalist,2020,Coccinella novemnotata,39.1073317,-76.5710753,6740.0,Maryland,"(39.1073317, -76.5710753)"
128540,I-naturalist,2020,Coccinella novemnotata,39.5498509722,-119.828496,0.0,Nevada,"(39.5498509722, -119.828496)"
129940,I-naturalist,2020,Coccinella novemnotata,39.9111046142,-74.9442952961,65.0,New Jersey,"(39.9111046142, -74.9442952961)"
131318,I-naturalist,2020,Coccinella novemnotata,40.629745,-74.02744167,0.0,New York,"(40.629745, -74.02744167)"
132825,I-naturalist,2020,Coccinella novemnotata,39.1326916667,-76.9092333333,0.0,Maryland,"(39.1326916667, -76.9092333333)"
132937,Bugguide.net,2020,Coccinella novemnotata,46.813873,-112.153933,0.0,Montana,"(46.813873, -112.153933)"
133767,I-naturalist,2020,Coccinella novemnotata,40.9731019722,-105.0085839722,0.0,Colorado,"(40.9731019722, -105.0085839722)"
133768,I-naturalist,2020,Coccinella novemnotata,38.8618429355,-104.6475712983,61.0,Colorado,"(38.8618429355, -104.6475712983)"
140304,I-naturalist,2020,Coccinella novemnotata,43.5671515859,-116.6701119938,61.0,Idaho,"(43.5671515859, -116.6701119938)"
145267,I-naturalist,2021,Coccinella novemnotata,36.8180866667,-119.685445,28476.0,California,"(36.8180866667, -119.685445)"
145268,I-naturalist,2021,Coccinella novemnotata,35.8667471074,-119.3919923696,50.0,California,"(35.8667471074, -119.3919923696)"
145269,I-naturalist,2021,Coccinella novemnotata,36.2513695997,-120.3154075,0.0,California,"(36.2513695997, -120.3154075)"
145428,I-naturalist,2021,Coccinella novemnotata,40.750852651,-111.8120647687,7.0,Utah,"(40.750852651, -111.8120647687)"
145429,I-naturalist,2021,Coccinella novemnotata,41.059783555,-112.2435298562,321.0,Utah,"(41.059783555, -112.2435298562)"
148733,I-naturalist,2021,Coccinella novemnotata,43.27489862,-116.39785735,4.0,Idaho,"(43.27489862, -116.39785735)"
148991,I-naturalist,2021,Coccinella novemnotata,49.0601869381,-117.6133418136,60.0,British Columbia,"(49.0601869381, -117.6133418136)"
148992,I-naturalist,2021,Coccinella novemnotata,50.6704415822,-120.1524965574,357.0,British Columbia,"(50.6704415822, -120.1524965574)"
148993,I-naturalist,2021,Coccinella novemnotata,49.025571389,-119.6854911,495.0,British Columbia,"(49.025571389, -119.6854911)"
149013,I-naturalist,2021,Coccinella novemnotata,50.81913,-121.3269883333,16.0,British Columbia,"(50.81913, -121.3269883333)"
149014,I-naturalist,2021,Coccinella novemnotata,50.8127966667,-121.3068783333,6.0,British Columbia,"(50.8127966667, -121.3068783333)"
149015,I-naturalist,2021,Coccinella novemnotata,49.5702664,-115.6836789,3599.0,British Columbia,"(49.5702664, -115.6836789)"
149206,I-naturalist,2021,Coccinella novemnotata,35.1531688956,-90.2513122559,5.0,Arkansas,"(35.1531688956, -90.2513122559)"
149308,I-naturalist,2021,Coccinella novemnotata,38.8472303854,-104.5952276127,15.0,Colorado,"(38.8472303854, -104.5952276127)"
149309,I-naturalist,2021,Coccinella novemnotata,40.31112,-105.222205,4.0,Colorado,"(40.31112, -105.222205)"
149310,I-naturalist,2021,Coccinella novemnotata,40.249695,-105.2172166667,15.0,Colorado,"(40.249695, -105.2172166667)"
149311,I-naturalist,2021,Coccinella novemnotata,40.2473609069,-105.2203674764,370.0,Colorado,"(40.2473609069, -105.2203674764)"
149312,I-naturalist,2021,Coccinella novemnotata,38.8251583333,-105.9947133333,4.0,Colorado,"(38.8251583333, -105.9947133333)"
150590,I-naturalist,2021,Coccinella novemnotata,43.2614914997,-88.0651890997,0.0,Wisconsin,"(43.2614914997, -88.0651890997)"
155437,I-naturalist,2021,Coccinella novemnotata,39.0603305556,-78.0607944444,0.0,Virginia,"(39.0603305556, -78.0607944444)"
157094,I-naturalist,2021,Coccinella novemnotata,38.9458025179,-76.5709540976,6.0,Maryland,"(38.9458025179, -76.5709540976)"
157330,I-naturalist,2021,Coccinella novemnotata,48.5713611111,-123.1000972222,5.0,Washington,"(48.5713611111, -123.1000972222)"
158351,I-naturalist,2021,Coccinella novemnotata,48.4941368103,-122.6984405518,4837.0,Washington,"(48.4941368103, -122.6984405518)"
167018,I-naturalist,2021,Coccinella novemnotata,40.7185993857,-74.0163157915,22.0,New York,"(40.7185993857, -74.0163157915)"
169314,I-naturalist,2021,Coccinella novemnotata,43.44228575,-119.0004659722,0.0,Oregon,"(43.44228575, -119.0004659722)"
169315,I-naturalist,2021,Coccinella novemnotata,43.0993155,-118.2305923333,0.0,Oregon,"(43.0993155, -118.2305923333)"
169316,I-naturalist,2021,Coccinella novemnotata,45.1480111667,-121.747825,52.0,Oregon,"(45.1480111667, -121.747825)"
169317,I-naturalist,2021,Coccinella novemnotata,44.5661043209,-123.2797875228,1863.0,Oregon,"(44.5661043209, -123.2797875228)"
169318,I-naturalist,2021,Coccinella novemnotata,44.0665888333,-122.9345383333,5.0,Oregon,"(44.0665888333, -122.9345383333)"
184406,I-naturalist,2021,Coccinella novemnotata,45.3007916667,-79.2032,12.0,,"(45.3007916667, -79.2032)"
187431,I-naturalist,2021,Coccinella novemnotata,38.694970577,-119.5205825816,302.0,Nevada,"(38.694970577, -119.5205825816)"
188017,Bugguide.net,2021,Coccinella novemnotata,46.813873,-112.153933,0.0,Montana,"(46.813873, -112.153933)"
188528,I-naturalist,2021,Coccinella novemnotata,40.6520323953,-74.5476442059,117.0,New Jersey,"(40.6520323953, -74.5476442059)"
11362,I-naturalist,2017,Coccinella novemnotata,41.0733990329,-106.1335867716,131.0,Wyoming,"(41.0733990329, -106.1335867716)"
11363,I-naturalist,2017,Coccinella novemnotata,41.0733990329,-106.1335867716,131.0,Wyoming,"(41.0733990329, -106.1335867716)"
11365,I-naturalist,2019,Coccinella novemnotata,42.7415443567,-103.9114057875,267.0,Nebraska,"(42.7415443567, -103.9114057875)"
11366,I-naturalist,2019,Coccinella novemnotata,42.8162439081,-103.0025339112,246.0,Nebraska,"(42.8162439081, -103.0025339112)"
11367,I-naturalist,2012,Coccinella novemnotata,42.4625479421,-103.08109296,700.0,Nebraska,"(42.4625479421, -103.08109296)"
11368,I-naturalist,2017,Coccinella novemnotata,43.2331218935,-103.6221438161,127.0,South Dakota,"(43.2331218935, -103.6221438161)"
11370,I-naturalist,2019,Coccinella novemnotata,43.1384071921,-103.6637141809,1069.0,South Dakota,"(43.1384071921, -103.6637141809)"
11371,I-naturalist,2019,Coccinella novemnotata,43.1386579475,-103.6637142674,1069.0,South Dakota,"(43.1386579475, -103.6637142674)"
11372,I-naturalist,2018,Coccinella novemnotata,40.5130085988,-108.1068211412,404.0,Colorado,"(40.5130085988, -108.1068211412)"
11373,I-naturalist,2012,Coccinella novemnotata,46.1831527724,-119.8508266736,2.0,Washington,"(46.1831527724, -119.8508266736)"
11374,I-naturalist,2020,Coccinella novemnotata,44.1485528513,-75.6493362085,2468.0,New York,"(44.1485528513, -75.6493362085)"
11375,I-naturalist,2021,Coccinella novemnotata,50.7343366667,-120.4082066667,0.0,,"(50.7343366667, -120.4082066667)"
11376,I-naturalist,2021,Coccinella novemnotata,50.7343566667,-120.4082133333,0.0,,"(50.7343566667, -120.4082133333)"
11377,I-naturalist,2021,Coccinella novemnotata,50.73432,-120.408205,0.0,,"(50.73432, -120.408205)"
11378,I-naturalist,2021,Coccinella novemnotata,50.7726666667,-120.4293766667,0.0,,"(50.7726666667, -120.4293766667)"
11379,I-naturalist,2021,Coccinella novemnotata,50.773483,-120.433784,0.0,,"(50.773483, -120.433784)"
11381,I-naturalist,2021,Coccinella novemnotata,40.921805,-111.8645033333,4.0,Utah,"(40.921805, -111.8645033333)"
11382,I-naturalist,2021,Coccinella novemnotata,50.737525,-121.2934166667,0.0,,"(50.737525, -121.2934166667)"
11383,I-naturalist,2021,Coccinella novemnotata,50.737525,-121.2933983333,0.0,,"(50.737525, -121.2933983333)"
11384,I-naturalist,2021,Coccinella novemnotata,38.7976333333,-104.8601083333,4.0,Colorado,"(38.7976333333, -104.8601083333)"
11385,I-naturalist,2021,Coccinella novemnotata,39.5488366667,-105.0241695,6.0,Colorado,"(39.5488366667, -105.0241695)"
11386,I-naturalist,2021,Coccinella novemnotata,50.7374521418,-121.2936043893,17.0,,"(50.7374521418, -121.2936043893)"
11387,I-naturalist,2021,Coccinella novemnotata,50.736221,-121.286163,0.0,,"(50.736221, -121.286163)"
11388,I-naturalist,2021,Coccinella novemnotata,34.438878399,-119.8434639459,22.0,California,"(34.438878399, -119.8434639459)"
11389,I-naturalist,2021,Coccinella novemnotata,50.752296,-120.873077,0.0,,"(50.752296, -120.873077)"
11390,I-naturalist,2021,Coccinella novemnotata,50.7440716893,-121.2906575918,4.0,,"(50.7440716893, -121.2906575918)"
11391,I-naturalist,2021,Coccinella novemnotata,50.7429471006,-121.2915048337,4.0,,"(50.7429471006, -121.2915048337)"
11392,I-naturalist,2021,Coccinella novemnotata,50.7429227237,-121.291460768,4.0,,"(50.7429227237, -121.291460768)"
11393,I-naturalist,2021,Coccinella novemnotata,50.741718,-121.287735,0.0,,"(50.741718, -121.287735)"
11394,I-naturalist,2021,Coccinella novemnotata,41.1695466667,-71.565225,4.0,Rhode Island,"(41.1695466667, -71.565225)"
11395,I-naturalist,2014,Coccinella novemnotata,41.6889547152,-71.3674495265,241.0,Rhode Island,"(41.6889547152, -71.3674495265)"
11396,I-naturalist,2021,Coccinella novemnotata,40.224720008,-105.27130785,2758.0,Colorado,"(40.224720008, -105.27130785)"
