Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
8314,The Lost Ladybugs,2011,Coccinella novemnotata,43.165548,-89.912901,0.0,Wisconsin,"(43.165548, -89.912901)"
8433,Utah Museum of Natural History,2011,Coccinella novemnotata,40.76270294189453,-111.81999969482422,572.0,Utah,"(40.76270294189453, -111.81999969482422)"
8484,The Lost Ladybugs,2011,Coccinella novemnotata,30.102895,-98.422314,0.0,Texas,"(30.102895, -98.422314)"
8531,"Ministry of Natural Resources or Smithsonian Institution, National Museum of Natural History",2011,Coccinella novemnotata,40.762703,-111.819999,0.0,Utah,"(40.762703, -111.819999)"
9202,The Lost Ladybugs,2012,Coccinella novemnotata,43.6365693,-113.30028,0.0,Idaho,"(43.6365693, -113.30028)"
9221,The Lost Ladybugs,2012,Coccinella novemnotata,42.7240732,-114.51865,0.0,Idaho,"(42.7240732, -114.51865)"
9290,The Lost Ladybugs,2012,Coccinella novemnotata,40.0891304,-109.67736,0.0,Utah,"(40.0891304, -109.67736)"
9389,The Lost Ladybugs,2012,Coccinella novemnotata,42.5296532,-114.30112,0.0,Idaho,"(42.5296532, -114.30112)"
9450,The Lost Ladybugs,2012,Coccinella novemnotata,44.0956545,-115.61871,0.0,Idaho,"(44.0956545, -115.61871)"
9455,The Lost Ladybugs,2012,Coccinella novemnotata,42.5338019,-114.36475,0.0,Idaho,"(42.5338019, -114.36475)"
9477,The Lost Ladybugs,2012,Coccinella novemnotata,42.43919,-114.3085,0.0,Idaho,"(42.43919, -114.3085)"
9877,"University of Guelph, Centre for Biodiversity Genomics",2012,Coccinella novemnotata,49.08000183105469,-113.87000274658205,0.0,Alberta,"(49.08000183105469, -113.87000274658205)"
9943,,2012,Coccinella novemnotata,49.081,-113.879,0.0,Alberta,"(49.081, -113.879)"
9950,Centre for Biodiversity Genomics,2012,Coccinella novemnotata,49.08,-113.87,0.0,Alberta,"(49.08, -113.87)"
10291,The Lost Ladybugs,2012,Coccinella novemnotata,38.4,-104.4,0.0,Colorado,"(38.4, -104.4)"
10296,The Lost Ladybugs,2012,Coccinella novemnotata,38.8334312,-104.8218,0.0,Colorado,"(38.8334312, -104.8218)"
10305,Bugguide.net,2012,Coccinella novemnotata,40.058094,-105.195154,0.0,Colorado,"(40.058094, -105.195154)"
10339,The Lost Ladybugs,2012,Coccinella novemnotata,38.9330494,-104.60858,0.0,Colorado,"(38.9330494, -104.60858)"
10354,The Lost Ladybugs,2012,Coccinella novemnotata,38.894739,-104.69724,0.0,Colorado,"(38.894739, -104.69724)"
10360,The Lost Ladybugs,2012,Coccinella novemnotata,38.8802301,-104.77251,0.0,Colorado,"(38.8802301, -104.77251)"
10414,The Lost Ladybugs,2012,Coccinella novemnotata,37.2861114,-108.03951,0.0,Colorado,"(37.2861114, -108.03951)"
10418,The Lost Ladybugs,2012,Coccinella novemnotata,38.929826,-104.57608,0.0,Colorado,"(38.929826, -104.57608)"
10445,,2012,Coccinella novemnotata,49.08,-113.88,0.0,,"(49.08, -113.88)"
10511,The Lost Ladybugs,2012,Coccinella novemnotata,45.4194013,-93.194041,0.0,Minnesota,"(45.4194013, -93.194041)"
10561,The Lost Ladybugs,2012,Coccinella novemnotata,45.434479,-93.190413,0.0,Minnesota,"(45.434479, -93.190413)"
11074,Bugguide.net,2012,Coccinella novemnotata,42.726836,-103.155107,0.0,Nebraska,"(42.726836, -103.155107)"
11248,The Lost Ladybugs,2012,Coccinella novemnotata,46.5958056,-112.02703,0.0,Montana,"(46.5958056, -112.02703)"
11256,The Lost Ladybugs,2012,Coccinella novemnotata,46.42,-112.13,0.0,Montana,"(46.42, -112.13)"
11257,The Lost Ladybugs,2012,Coccinella novemnotata,46.5897598,-112.0212,0.0,Montana,"(46.5897598, -112.0212)"
11275,NatureServe,2012,Coccinella novemnotata,42.48771286010742,-103.75888061523438,0.0,Nebraska,"(42.48771286010742, -103.75888061523438)"
11279,NatureServe,2012,Coccinella novemnotata,41.71599960327149,-103.01055145263672,0.0,Nebraska,"(41.71599960327149, -103.01055145263672)"
11284,The Lost Ladybugs,2012,Coccinella novemnotata,42.1887721,-120.34579,0.0,Oregon,"(42.1887721, -120.34579)"
11314,The Lost Ladybugs,2012,Coccinella novemnotata,46.1270925,-112.94916,0.0,Montana,"(46.1270925, -112.94916)"
11810,The Lost Ladybugs,2013,Coccinella novemnotata,38.9341583,-104.60948,0.0,Colorado,"(38.9341583, -104.60948)"
12137,,2013,Coccinella novemnotata,50.663,-120.504,0.0,British Columbia,"(50.663, -120.504)"
12139,,2013,Coccinella novemnotata,50.66,-120.5,0.0,,"(50.66, -120.5)"
12375,The Lost Ladybugs,2013,Coccinella novemnotata,46.5897598,-112.0212,0.0,Montana,"(46.5897598, -112.0212)"
12402,Centre for Biodiversity Genomics,2013,Coccinella novemnotata,50.66,-120.5,0.0,British Columbia,"(50.66, -120.5)"
12405,The Lost Ladybugs,2013,Coccinella novemnotata,46.9551696,-112.67513,0.0,Montana,"(46.9551696, -112.67513)"
12436,Centre for Biodiversity Genomics,2013,Coccinella novemnotata,50.64,-120.51,0.0,British Columbia,"(50.64, -120.51)"
12469,,2013,Coccinella novemnotata,50.643,-120.517,0.0,British Columbia,"(50.643, -120.517)"
12563,The Lost Ladybugs,2013,Coccinella novemnotata,46.1304206,-112.95333,0.0,Montana,"(46.1304206, -112.95333)"
12923,The Lost Ladybugs,2013,Coccinella novemnotata,38.5625,-104.441,0.0,Colorado,"(38.5625, -104.441)"
12931,The Lost Ladybugs,2013,Coccinella novemnotata,38.7513999,-104.74391,0.0,Colorado,"(38.7513999, -104.74391)"
12991,The Lost Ladybugs,2013,Coccinella novemnotata,38.9268302,-105.00511,0.0,Colorado,"(38.9268302, -105.00511)"
13055,The Lost Ladybugs,2013,Coccinella novemnotata,42.454071,-121.50408,0.0,Oregon,"(42.454071, -121.50408)"
13092,The Lost Ladybugs,2013,Coccinella novemnotata,38.5365,-104.417,0.0,Colorado,"(38.5365, -104.417)"
13854,"University of Guelph, Centre for Biodiversity Genomics",2013,Coccinella novemnotata,50.63999938964844,-120.51000213623048,0.0,British Columbia,"(50.63999938964844, -120.51000213623048)"
13889,"University of Guelph, Centre for Biodiversity Genomics",2013,Coccinella novemnotata,50.65999984741211,-120.5,0.0,British Columbia,"(50.65999984741211, -120.5)"
14397,The Lost Ladybugs,2013,Coccinella novemnotata,50.792,-120.436,0.0,British Columbia,"(50.792, -120.436)"
14451,,2013,Coccinella novemnotata,50.64,-120.52,0.0,,"(50.64, -120.52)"
14541,European Molecular Biology Laboratory (EMBL),2013,Coccinella novemnotata,50.65999984741211,-120.5,0.0,,"(50.65999984741211, -120.5)"
14711,The Lost Ladybugs,2013,Coccinella novemnotata,43.611,-116.39222,0.0,Idaho,"(43.611, -116.39222)"
14908,The Lost Ladybugs,2014,Coccinella novemnotata,49.4173011,-112.856,0.0,Alberta,"(49.4173011, -112.856)"
15250,The Lost Ladybugs,2014,Coccinella novemnotata,41.0312118,-71.953727,0.0,New York,"(41.0312118, -71.953727)"
15856,The Lost Ladybugs,2014,Coccinella novemnotata,43.2331,-114.3089,0.0,Idaho,"(43.2331, -114.3089)"
16316,The Lost Ladybugs,2014,Coccinella novemnotata,45.4472007,-93.73603,0.0,Minnesota,"(45.4472007, -93.73603)"
16895,The Lost Ladybugs,2014,Coccinella novemnotata,46.5897598,-112.0212,0.0,Montana,"(46.5897598, -112.0212)"
16976,Bugguide.net,2014,Coccinella novemnotata,40.170596,-75.317433,0.0,Pennsylvania,"(40.170596, -75.317433)"
17006,The Lost Ladybugs,2014,Coccinella novemnotata,41.6985893,-71.461677,0.0,Rhode Island,"(41.6985893, -71.461677)"
17010,The Lost Ladybugs,2014,Coccinella novemnotata,38.8334312,-104.8218,0.0,Colorado,"(38.8334312, -104.8218)"
17311,NatureServe,2014,Coccinella novemnotata,42.48771286010742,-103.75888061523438,0.0,Nebraska,"(42.48771286010742, -103.75888061523438)"
17328,NatureServe,2014,Coccinella novemnotata,42.719722747802734,-103.13543701171876,0.0,Nebraska,"(42.719722747802734, -103.13543701171876)"
17434,The Lost Ladybugs,2014,Coccinella novemnotata,38.9341583,-104.60948,0.0,Colorado,"(38.9341583, -104.60948)"
17438,The Lost Ladybugs,2014,Coccinella novemnotata,39.0359497,-104.29753,0.0,Colorado,"(39.0359497, -104.29753)"
17451,The Lost Ladybugs,2014,Coccinella novemnotata,40.3062095,-105.07916,0.0,Colorado,"(40.3062095, -105.07916)"
17510,I-naturalist,2014,Coccinella novemnotata,39.550947,-105.099243,25.0,Colorado,"(39.550947, -105.099243)"
17544,The Lost Ladybugs,2014,Coccinella novemnotata,38.8417663,-104.84572,0.0,Colorado,"(38.8417663, -104.84572)"
17574,The Lost Ladybugs,2014,Coccinella novemnotata,38.54,-104.37,0.0,Colorado,"(38.54, -104.37)"
17599,The Lost Ladybugs,2014,Coccinella novemnotata,39.103,-104.311,0.0,Colorado,"(39.103, -104.311)"
17627,The Lost Ladybugs,2014,Coccinella novemnotata,38.533,-104.411,0.0,Colorado,"(38.533, -104.411)"
19224,The Lost Ladybugs,2015,Coccinella novemnotata,48.5234184,-122.91394,0.0,Washington,"(48.5234184, -122.91394)"
20132,The Lost Ladybugs,2015,Coccinella novemnotata,41.0092582,-72.068946,0.0,New York,"(41.0092582, -72.068946)"
20133,The Lost Ladybugs,2015,Coccinella novemnotata,40.9726295,-72.149818,0.0,New York,"(40.9726295, -72.149818)"
20503,The Lost Ladybugs,2015,Coccinella novemnotata,39.5792999,-121.096,0.0,California,"(39.5792999, -121.096)"
20545,The Lost Ladybugs,2015,Coccinella novemnotata,34.4689598,-118.19386,0.0,California,"(34.4689598, -118.19386)"
20554,The Lost Ladybugs,2015,Coccinella novemnotata,38.5724906,-121.75387,0.0,California,"(38.5724906, -121.75387)"
20555,The Lost Ladybugs,2015,Coccinella novemnotata,34.2621192,-118.66296,0.0,California,"(34.2621192, -118.66296)"
20861,The Lost Ladybugs,2015,Coccinella novemnotata,34.930641,-118.56237,0.0,California,"(34.930641, -118.56237)"
21769,The Lost Ladybugs,2015,Coccinella novemnotata,39.1205711,-104.16786,0.0,Colorado,"(39.1205711, -104.16786)"
21784,The Lost Ladybugs,2015,Coccinella novemnotata,38.8334312,-104.8218,0.0,Colorado,"(38.8334312, -104.8218)"
21871,Bugguide.net,2015,Coccinella novemnotata,34.277048,-119.045326,0.0,California,"(34.277048, -119.045326)"
21873,I-naturalist,2015,Coccinella novemnotata,34.930641,-118.562376,3.0,California,"(34.930641, -118.562376)"
21874,I-naturalist,2015,Coccinella novemnotata,34.017916,-118.287891,16.0,California,"(34.017916, -118.287891)"
21875,I-naturalist,2015,Coccinella novemnotata,33.817129,-118.085931,900.0,California,"(33.817129, -118.085931)"
21876,I-naturalist,2015,Coccinella novemnotata,34.4986716667,-118.1748366667,0.0,California,"(34.4986716667, -118.1748366667)"
21877,I-naturalist,2015,Coccinella novemnotata,39.271966,-120.125224,114.0,California,"(39.271966, -120.125224)"
21878,I-naturalist,2015,Coccinella novemnotata,34.262557,-118.66286,7.0,California,"(34.262557, -118.66286)"
21879,I-naturalist,2015,Coccinella novemnotata,34.26305,-118.662777,5.0,California,"(34.26305, -118.662777)"
21881,I-naturalist,2015,Coccinella novemnotata,34.9483481713,-118.5575866699,488.0,California,"(34.9483481713, -118.5575866699)"
21882,I-naturalist,2015,Coccinella novemnotata,34.9489109913,-118.5558700562,488.0,California,"(34.9489109913, -118.5558700562)"
21883,I-naturalist,2015,Coccinella novemnotata,33.8237916231,-118.091260231,115.0,California,"(33.8237916231, -118.091260231)"
22322,The Lost Ladybugs,2015,Coccinella novemnotata,39.0263404,-104.48387,0.0,Colorado,"(39.0263404, -104.48387)"
22617,Bugguide.net,2015,Coccinella novemnotata,43.098213,-108.681116,0.0,Wyoming,"(43.098213, -108.681116)"
23744,American Museum of Natural History - Invertebrate Zoology,2016,Coccinella novemnotata,34.420616,-119.796752,0.0,California,"(34.420616, -119.796752)"
23776,San Diego Natural History Museum,2016,Coccinella novemnotata,33.42962,-117.530222,0.0,California,"(33.42962, -117.530222)"
23945,I-naturalist,2016,Coccinella novemnotata,37.1299830397,-121.6346371098,50.0,California,"(37.1299830397, -121.6346371098)"
23946,I-naturalist,2016,Coccinella novemnotata,36.088294,-120.11237,0.0,California,"(36.088294, -120.11237)"
25448,The Lost Ladybugs,2016,Coccinella novemnotata,41.3314094,-74.356666,0.0,New York,"(41.3314094, -74.356666)"
26291,I-naturalist,2016,Coccinella novemnotata,38.8818946062,-77.0375607536,5.0,Washington D.C.,"(38.8818946062, -77.0375607536)"
26525,The Lost Ladybugs,2016,Coccinella novemnotata,37.1259117,-121.66178,0.0,California,"(37.1259117, -121.66178)"
26656,I-naturalist,2016,Coccinella novemnotata,39.2882683333,-102.986265,0.0,Colorado,"(39.2882683333, -102.986265)"
26658,Bugguide.net,2016,Coccinella novemnotata,39.325815,-102.547752,0.0,Colorado,"(39.325815, -102.547752)"
26890,"San Diego Natural History Museum, theNAT",2016,Coccinella novemnotata,33.42961883544922,-117.53022003173828,0.0,California,"(33.42961883544922, -117.53022003173828)"
26907,"San Diego Natural History Museum, theNAT",2016,Coccinella novemnotata,33.46842575073242,-117.47647857666016,0.0,California,"(33.46842575073242, -117.47647857666016)"
26944,Cheadle Center for Biodiversity and Ecological Restoration,2016,Coccinella novemnotata,34.420616149902344,-119.7967529296875,999.0,California,"(34.420616149902344, -119.7967529296875)"
29253,I-naturalist,2016,Coccinella novemnotata,35.0654680815,-109.7791146808,60.0,Arizona,"(35.0654680815, -109.7791146808)"
29709,The Lost Ladybugs,2016,Coccinella novemnotata,38.8334312,-104.8218,0.0,Colorado,"(38.8334312, -104.8218)"
33088,American Museum of Natural History - Invertebrate Zoology,2017,Coccinella novemnotata,34.408418,-119.84704,0.0,California,"(34.408418, -119.84704)"
33104,American Museum of Natural History - Invertebrate Zoology,2017,Coccinella novemnotata,34.44174,-119.848696,0.0,California,"(34.44174, -119.848696)"
33730,I-naturalist,2017,Coccinella novemnotata,34.730905,-118.4012616667,0.0,California,"(34.730905, -118.4012616667)"
33754,I-naturalist,2017,Coccinella novemnotata,35.077125,-118.7221183333,0.0,California,"(35.077125, -118.7221183333)"
33755,I-naturalist,2017,Coccinella novemnotata,34.2563740185,-118.6240518093,52.0,California,"(34.2563740185, -118.6240518093)"
33756,I-naturalist,2017,Coccinella novemnotata,34.3972378236,-119.5275163651,31.0,California,"(34.3972378236, -119.5275163651)"
33776,I-naturalist,2017,Coccinella novemnotata,34.6165416667,-118.7440816667,0.0,California,"(34.6165416667, -118.7440816667)"
33777,I-naturalist,2017,Coccinella novemnotata,35.0207983333,-118.717375,0.0,California,"(35.0207983333, -118.717375)"
33778,I-naturalist,2017,Coccinella novemnotata,34.2291234993,-119.0035629274,5.0,California,"(34.2291234993, -119.0035629274)"
33779,I-naturalist,2017,Coccinella novemnotata,34.3843877068,-119.4976902008,319.0,California,"(34.3843877068, -119.4976902008)"
33780,I-naturalist,2017,Coccinella novemnotata,34.4379616667,-118.617455,0.0,California,"(34.4379616667, -118.617455)"
33781,I-naturalist,2017,Coccinella novemnotata,34.438175,-118.6184833333,0.0,California,"(34.438175, -118.6184833333)"
33782,I-naturalist,2017,Coccinella novemnotata,34.9824715254,-118.7216091156,1000.0,California,"(34.9824715254, -118.7216091156)"
33783,I-naturalist,2017,Coccinella novemnotata,35.02277,-118.67889,500.0,California,"(35.02277, -118.67889)"
33784,I-naturalist,2017,Coccinella novemnotata,34.4369716667,-118.6222533333,0.0,California,"(34.4369716667, -118.6222533333)"
35559,Bugguide.net,2017,Coccinella novemnotata,38.912363,-105.156719,0.0,Colorado,"(38.912363, -105.156719)"
35560,Bugguide.net,2017,Coccinella novemnotata,40.058094,-105.195154,0.0,Colorado,"(40.058094, -105.195154)"
35591,I-naturalist,2017,Coccinella novemnotata,38.7716129,-104.6492651,38.0,Colorado,"(38.7716129, -104.6492651)"
35592,I-naturalist,2017,Coccinella novemnotata,38.9226809003,-104.8564124107,15.0,Colorado,"(38.9226809003, -104.8564124107)"
35593,I-naturalist,2017,Coccinella novemnotata,40.1715544637,-105.2152490616,31.0,Colorado,"(40.1715544637, -105.2152490616)"
35594,I-naturalist,2017,Coccinella novemnotata,40.171587256,-105.2152061462,31.0,Colorado,"(40.171587256, -105.2152061462)"
35595,I-naturalist,2017,Coccinella novemnotata,40.1716200483,-105.2151203156,31.0,Colorado,"(40.1716200483, -105.2151203156)"
35597,I-naturalist,2017,Coccinella novemnotata,40.3716834131,-105.61473459,8.0,Colorado,"(40.3716834131, -105.61473459)"
35598,I-naturalist,2017,Coccinella novemnotata,38.833414,-104.735855,0.0,Colorado,"(38.833414, -104.735855)"
35599,I-naturalist,2017,Coccinella novemnotata,40.1721246602,-105.2151646655,188.0,Colorado,"(40.1721246602, -105.2151646655)"
35600,I-naturalist,2017,Coccinella novemnotata,39.9222106565,-105.2385450275,76.0,Colorado,"(39.9222106565, -105.2385450275)"
35604,I-naturalist,2017,Coccinella novemnotata,38.86059,-104.651402,413.0,Colorado,"(38.86059, -104.651402)"
35619,I-naturalist,2017,Coccinella novemnotata,38.6212543384,-104.886448072,8.0,Colorado,"(38.6212543384, -104.886448072)"
35767,Cheadle Center for Biodiversity and Ecological Restoration,2017,Coccinella novemnotata,34.408416748046875,-119.84703826904295,601.0,California,"(34.408416748046875, -119.84703826904295)"
36049,Bugguide.net,2017,Coccinella novemnotata,40.236597,-111.73671,0.0,Utah,"(40.236597, -111.73671)"
36065,I-naturalist,2017,Coccinella novemnotata,40.2510931094,-111.8771749735,21.0,Utah,"(40.2510931094, -111.8771749735)"
36526,I-naturalist,2017,Coccinella novemnotata,30.191712613,-82.6380239055,172.0,Florida,"(30.191712613, -82.6380239055)"
37279,The Lost Ladybugs,2017,Coccinella novemnotata,39.7400093,-104.99201,0.0,Colorado,"(39.7400093, -104.99201)"
39258,Bugguide.net,2017,Coccinella novemnotata,41.407675,-105.72644,0.0,Wyoming,"(41.407675, -105.72644)"
41466,I-naturalist,2017,Coccinella novemnotata,29.8699305556,-97.9681027778,0.0,Texas,"(29.8699305556, -97.9681027778)"
42950,Bugguide.net,2017,Coccinella novemnotata,43.337098,-103.558248,0.0,South Dakota,"(43.337098, -103.558248)"
44250,The Lost Ladybugs,2018,Coccinella novemnotata,42.1890716,-120.34597,0.0,Oregon,"(42.1890716, -120.34597)"
44389,I-naturalist,2018,Coccinella novemnotata,29.6305389404,-98.9775390625,0.0,Texas,"(29.6305389404, -98.9775390625)"
45667,I-naturalist,2018,Coccinella novemnotata,40.7034464926,-111.8710895443,5.0,Utah,"(40.7034464926, -111.8710895443)"
46120,I-naturalist,2018,Coccinella novemnotata,28.576668,-80.989193,0.0,Florida,"(28.576668, -80.989193)"
46797,I-naturalist,2018,Coccinella novemnotata,41.5872753505,-112.5837769547,5.0,Utah,"(41.5872753505, -112.5837769547)"
46798,I-naturalist,2018,Coccinella novemnotata,40.37642,-111.70902,15.0,Utah,"(40.37642, -111.70902)"
50851,I-naturalist,2018,Coccinella novemnotata,39.2460043791,-76.7451661076,10.0,Maryland,"(39.2460043791, -76.7451661076)"
55967,I-naturalist,2018,Coccinella novemnotata,50.2320466667,-119.287945,0.0,British Columbia,"(50.2320466667, -119.287945)"
56877,I-naturalist,2018,Coccinella novemnotata,33.2766945346,-117.3130906373,2.0,California,"(33.2766945346, -117.3130906373)"
56879,I-naturalist,2018,Coccinella novemnotata,33.2760543246,-117.3200690746,15.0,California,"(33.2760543246, -117.3200690746)"
56880,I-naturalist,2018,Coccinella novemnotata,33.2773011041,-117.3172473907,8.0,California,"(33.2773011041, -117.3172473907)"
56881,I-naturalist,2018,Coccinella novemnotata,35.0364621125,-118.7689876556,87.0,California,"(35.0364621125, -118.7689876556)"
56882,I-naturalist,2018,Coccinella novemnotata,37.6822162727,-118.7864155764,351.0,California,"(37.6822162727, -118.7864155764)"
56883,I-naturalist,2018,Coccinella novemnotata,35.038105,-118.767535,0.0,California,"(35.038105, -118.767535)"
57090,American Museum of Natural History - Invertebrate Zoology,2018,Coccinella novemnotata,34.462213,-120.072366,0.0,California,"(34.462213, -120.072366)"
57354,I-naturalist,2018,Coccinella novemnotata,37.1913560774,-122.3974015999,0.0,California,"(37.1913560774, -122.3974015999)"
57947,Bugguide.net,2018,Coccinella novemnotata,40.560035,-108.135333,0.0,Colorado,"(40.560035, -108.135333)"
57948,I-naturalist,2018,Coccinella novemnotata,39.6425033333,-105.5927416667,5.0,Colorado,"(39.6425033333, -105.5927416667)"
57949,I-naturalist,2018,Coccinella novemnotata,39.9840166667,-105.2428966667,5.0,Colorado,"(39.9840166667, -105.2428966667)"
57950,I-naturalist,2018,Coccinella novemnotata,39.9637366667,-105.2701416667,50.0,Colorado,"(39.9637366667, -105.2701416667)"
57952,I-naturalist,2018,Coccinella novemnotata,39.9842349041,-105.2352261543,142.0,Colorado,"(39.9842349041, -105.2352261543)"
57953,I-naturalist,2018,Coccinella novemnotata,40.0169195,-105.29583,10.0,Colorado,"(40.0169195, -105.29583)"
57958,I-naturalist,2018,Coccinella novemnotata,39.9985883333,-105.2828366667,5.0,Colorado,"(39.9985883333, -105.2828366667)"
60420,The Lost Ladybugs,2018,Coccinella novemnotata,38.8334808,-104.8218,0.0,Colorado,"(38.8334808, -104.8218)"
63841,I-naturalist,2019,Coccinella novemnotata,40.24767,-120.8050383333,0.0,California,"(40.24767, -120.8050383333)"
63842,I-naturalist,2019,Coccinella novemnotata,35.0607733333,-119.35073,0.0,California,"(35.0607733333, -119.35073)"
63843,I-naturalist,2019,Coccinella novemnotata,34.6492500305,-119.3852920532,0.0,California,"(34.6492500305, -119.3852920532)"
63844,I-naturalist,2019,Coccinella novemnotata,34.64913,-119.3852533333,10.0,California,"(34.64913, -119.3852533333)"
63845,I-naturalist,2019,Coccinella novemnotata,34.3915166667,-118.8926466667,5.0,California,"(34.3915166667, -118.8926466667)"
64728,Bugguide.net,2019,Coccinella novemnotata,43.337098,-103.558248,0.0,South Dakota,"(43.337098, -103.558248)"
